last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
Baez, Javier,595879,2022,87.9,9.6,29.7,33,8,4.9,20.9,21.9,40.1,2.9,38,99.689131182,5.890376232,68,22.2,47.5,49.1,50.9,289,588,59.2,1239,69.6,6.6,263,938,890,2092,77.8,129,580,40.8,853,39.8,832,35.8,55.8,39.9,34.8,25.3,411,66.2,50.6,208,22.9,94,20.4,84,6.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,27.9,
Cave, Jake,595909,2022,90.7,14.4,38.5,12,10.3,9.4,18.8,31.6,27.4,2.6,42.7,99.526718814,6.448232906,73.1,26.3,30.4,54,46,61,113,52.4,372,77.4,7.5,99,377,230,710,72.9,65,247,47.6,338,43,305,35,50.7,24.8,49.6,25.6,117,55.4,36.8,43,39.3,46,22.2,26,1.7,2,,,,,,,,,,,-1,1,10,10.0,0,4,0.0,2,3,66.7,8,87.5,7,85.7,6,7,-0.2,-0.5,-0.5,-1.3,32.3,,4.31,28.0,
Gallagher, Cam,595956,2022,85.8,16.3,32.3,0,0,6.5,25.8,32.3,19.4,16.1,25.8,96.084264286,4.051254643,68.9,19.4,27.4,30.4,69.6,7,23,48.3,84,84.6,7.5,16,112,46,174,80.6,12,62,51.7,90,39.7,69,22.4,48.9,48.4,38.7,12.9,31,55.3,41.9,13,29,9,19.4,6,9.7,3,5,2.01,2,2.03,0,,,,0.75,78.9,,,,,,,,,,,,,,,,,,,,,,,,24.9,
Hedges, Austin,595978,2022,84.2,16.7,31.9,7,3.1,4.4,19.2,33.6,30.1,9.2,22.3,94.912102385,3.52196977,68.4,17.8,28.5,47.4,50,90,190,52.3,666,72.1,6.8,87,723,464,1274,80.8,74,416,47.7,608,42.7,544,27.1,47.6,41,34.9,24,229,65.7,40.6,93,24,55,23.6,54,11.8,27,37,1.95,1.95,1.95,1,1.56,,1.56,0.7,82.2,,,,,,,,,,,,,,,,,,,,,,,4.94,24.5,
Lindor, Francisco,596019,2022,89.3,13.8,29.2,42,8.3,6.2,22.4,26.8,32.3,3.8,41.3,99.740565418,6.14308743,68.2,14.5,29.9,39.9,59.9,179,449,53.2,1504,75.3,6.7,391,1569,867,2829,85.4,131,903,46.8,1325,43.3,1224,22.9,47.8,38.3,37.5,24.2,504,58.3,43.5,219,27.6,139,20.4,103,8.5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,27.5,
Odor, Rougned,596059,2022,87.8,21.5,30.5,21,6.5,5.6,23.1,36.4,23.1,4.7,33.3,98.233676795,5.245734647,72.8,19.8,31,42.8,56.2,124,290,53.2,936,83.7,5.6,307,919,529,1761,79.2,119,601,46.8,825,42.5,748,27.3,50.6,42.4,36.8,20.9,321,61.1,32.4,104,29,93,22.7,73,15.9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.39,27.0,
Slater, Austin,596103,2022,89,6.6,43.2,20,10.5,6.8,28.9,14.2,33.7,5.8,39.5,99.908713548,6.170847514,67.3,23.8,26.4,47.1,50.8,89,189,53.9,715,77.8,6.8,150,741,429,1326,75.7,98,411,46.1,611,41.2,546,31.2,45.2,31.1,42.6,26.3,190,66.5,53.7,102,19.5,37,25.3,48,1.6,3,,,,,,,,,,,2,0,11,0.0,5,6,83.3,10,11,90.9,7,85.7,6,90.9,10,11,-1.2,1.2,0.2,0.2,34.9,7,4.37,28.2,
Story, Trevor,596115,2022,88.9,17.8,36,27,11.3,7.1,21.3,31,27.2,2.1,40.6,100.613635333,6.400984812,68.9,21.5,33.2,47.7,52.3,133,279,53.4,841,73.8,6.8,122,944,505,1575,78.5,109,506,46.6,734,45.7,719,30.8,49.8,38.5,36.4,25.1,239,63.4,35.1,84,28.9,69,24.3,58,11.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.33,28.5,
Stubbs, Garrett,596117,2022,85.2,15.2,33.8,4,5.2,5.2,22.1,23.4,27.3,16.9,27.3,96.098752571,4.112040145,51.9,9.8,28,40,60,30,75,53.1,268,51.3,7.7,55,328,116,505,85.4,12,123,46.9,237,44,222,21.2,39.2,50.6,36.4,13,77,52.1,46.8,36,20.8,16,22.1,17,10.4,8,17,1.91,1.92,1.9,1,1.52,1.52,,0.72,83.5,,,,,,,,,,,,,,,,,,,,,,,4.41,27.3,
Vogelbach, Daniel,596129,2022,89.4,15.8,38.1,29,10.6,7.7,24.5,26,29.3,1.5,39.9,99.817658603,6.085066691,45.4,13.8,20.4,33.3,66.7,76,228,53.1,1116,43.4,6.8,228,1256,618,2102,86.2,62,448,46.9,986,43.6,917,20.4,32.2,40.7,35.5,23.8,273,51.3,38.1,104,29.7,81,24.9,68,7.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,23.9,
Sanchez, Gary,596142,2022,90.5,14,29.2,39,13.5,5.9,19.1,27.1,26.4,7.6,49.3,103.200555347,8.181078537,60.7,20.5,28.7,50.7,49.3,143,282,52.2,982,66.3,9.6,184,926,770,1881,79.5,112,546,47.8,899,39.7,747,30.8,44,47.9,29.2,22.9,288,59.7,43.8,126,29.9,86,18.4,53,8,23,27,1.93,1.94,1.92,2,1.5,1.51,1.49,0.75,86.3,,,,,,,,,,,,,,,,,,,,,,,4.72,25.1,
Kepler, Max,596146,2022,89.1,11.2,31.9,23,7.1,5.2,25.2,25.2,33.7,3.7,39.9,100.09058546,6.217393221,70.4,12.5,23.5,40.6,58.9,82,202,51.8,858,84.1,7.6,254,877,525,1656,87.2,70,562,48.2,798,43.9,727,19.9,46.1,41.7,34.4,23.9,326,58.4,46.6,152,24.5,80,23.3,76,5.5,18,,,,,,,,,,,11,3,22,13.6,10,16,62.5,3,3,100.0,14,100.0,14,100.0,23,23,-0.3,0.5,0.5,0.6,33.7,2,4.34,27.9,
Quinn, Roman,596451,2022,91.3,23.3,30.2,2,4.7,7,34.9,25.6,14,14,41.9,101.843556842,7.652174595,68.2,25.4,23.8,62.5,37.5,25,40,48.4,168,82.1,8.1,47,213,87,347,71.3,31,122,51.6,179,44.4,154,34.6,46.7,53.5,25.6,20.9,43,58.6,30.2,13,34.9,15,25.6,11,9.3,4,,,,,,,,,,,1,0,2,0.0,1,2,50.0,4,6,66.7,6,100.0,6,100.0,3,3,-0.7,0.2,0.1,-0.5,33.6,10,,29.6,
Franco, Maikel,596748,2022,87,11.5,33.1,14,4.7,5.7,25.1,25.8,32.4,5.4,34.4,98.818458378,5.432468176,68.3,21.8,38.5,39.4,60.6,106,269,49.3,699,77,7.1,213,665,540,1418,78.2,107,491,50.7,719,42.9,608,28,53.6,44.1,33.8,22.1,299,64.9,44.5,133,21.1,63,24.1,72,10.4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,25.5,
Choi, Ji-Man,596847,2022,92.2,10.6,37.3,28,11.9,8.1,27.5,16.9,33.1,2.5,47.5,101.295507712,7.335577574,67.5,24.6,19.9,54.5,44.4,108,198,54.1,995,83.1,7.1,351,1060,429,1840,75.3,140,570,45.9,845,42.8,787,32.3,41.7,40.7,35.2,24.2,236,57.2,46.6,110,25,59,23.7,56,4.7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,25.0,
Bradley Jr., Jackie,598265,2022,87.6,7.4,29.4,13,4.8,7.4,22.3,21.9,36.8,6.7,37.2,98.071881353,5.116593208,69.7,24.1,28.6,43,56.5,83,193,48.6,674,75.8,8.7,253,732,402,1387,74.8,120,497,51.4,713,41.9,581,29.4,49.7,39.8,36.4,23.8,269,60.5,51.3,138,21.2,57,21.2,57,6.3,17,,,,,,,,,,,8,4,24,16.7,5,14,35.7,13,17,76.5,18,88.9,16,100.0,15,15,2.3,0.9,-0.6,2.7,37.1,,4.42,27.0,
La Stella, Tommy,600303,2022,87.9,14.6,37.3,3,2,6.5,24.2,32,34.6,0.7,32,97.045650909,4.615035294,52.9,10.2,27.7,29.9,69.2,32,107,48.6,386,59.3,6.8,109,486,199,794,89.8,22,216,51.4,408,44.1,350,16.7,40.7,37.3,39.9,22.9,153,53.3,39.2,60,24.8,38,28.1,43,7.8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,24.9,
Severino, Pedro,600474,2022,86.7,16.3,36.4,0,0,9.1,18.2,45.5,27.3,0,18.2,94.839596667,3.917471818,70.8,29.4,25.5,33.3,66.7,4,12,49.5,47,100,4.2,9,57,29,95,70.6,10,34,50.5,48,43.2,41,30.4,48.4,45.5,18.2,36.4,11,66.7,36.4,4,27.3,3,27.3,3,9.1,1,2,2.06,2.04,2.08,0,,,,0.73,76.4,,,,,,,,,,,,,,,,,,,,,,,,25.3,
Candelario, Jeimer,600869,2022,87.2,13.5,37,27,8.3,4,21.3,28.4,32.7,4.3,34.6,98.352499379,5.27808162,74.3,17.8,33.6,40.1,59.6,125,312,53.4,929,88.9,6.7,274,952,501,1739,81.6,107,602,46.6,810,42.1,732,25.4,52.6,39.8,33.6,26.5,324,59.7,42.6,138,24.1,78,24.4,79,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,27.3,
Daza, Yonathan,602074,2022,84.8,4.6,34.1,6,1.9,2.5,32.5,16.6,40.9,5.3,25,95.180250189,3.627182587,66,12.2,35.7,30.1,69.9,85,282,51.4,789,71.1,7.4,180,821,535,1536,87,60,493,48.6,747,41.8,642,18.7,50.5,34.4,38.4,27.2,320,61.8,55.6,178,17.8,57,24.4,78,2.2,7,,,,,,,,,,,-2,1,23,4.3,2,7,28.6,12,17,70.6,14,92.9,13,81.8,18,22,0.9,-0.4,-0.6,0.1,34.2,,4.35,28.2,
Urias, Ramon,602104,2022,89.4,11,32.1,30,9.6,5.4,24.7,20.8,33.7,5.1,46.5,100.690244675,6.67897342,70.8,21,29,43.1,56.9,103,239,50.1,824,82.5,7.3,155,962,526,1645,79,122,581,49.9,821,42.8,704,27.4,49.8,37.8,36.9,25.3,312,66.9,47.8,149,24.4,76,20.5,64,7.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,26.7,
Ahmed, Nick,605113,2022,86.9,4.4,32.4,2,5.4,10.8,21.6,16.2,43.2,2.7,32.4,96.865202778,4.508848611,67.9,10.5,32.3,56.3,40.6,18,32,46.9,99,66.7,5.7,29,114,68,211,86.8,8,76,53.1,112,41.2,87,24.1,51.2,45.9,32.4,21.6,37,63,56.8,21,27,10,13.5,5,2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,27.9,
Anderson, Brian,605119,2022,88.7,7.7,31.1,23,9.7,4.2,24.8,20.2,34.5,6.3,42,100.372461008,6.372032152,73.9,22.9,29,48.1,51.9,111,231,51.7,797,77.8,7,190,871,481,1543,76.8,126,551,48.3,746,42.4,655,30.3,50.7,38.7,36.1,25.2,238,60.7,51.3,122,22.3,53,21.4,51,5,12,,,,,,,,,,,-3,0,6,0.0,1,3,33.3,2,6,33.3,7,85.7,6,50.0,2,4,-0.1,0.2,0.4,0.4,34.3,,4.44,27.5,
Barnes, Austin,605131,2022,87.4,13.6,31,7,4.8,5.5,18.6,31.7,33.1,6.2,35.2,98.048094085,5.029970704,65.9,12.8,15.3,41,59,25,61,46.9,399,76.7,7.1,87,528,235,850,86.2,38,297,53.1,451,41.3,351,17.6,42.1,33.8,35.2,31,145,64.6,43.4,63,29,42,20,29,7.6,11,17,2.06,2.07,2.04,1,1.56,1.56,,0.68,75.6,,,,,,,,,,,,,,,,,,,,,,,4.66,26.7,
Bell, Josh,605137,2022,88.9,8.4,30.7,33,7.2,3.7,27.4,20.6,36.6,4.2,40.8,100.551357456,6.511584791,68.8,16.3,24.9,34.6,65.4,115,332,53.3,1336,77.5,6.4,570,1354,572,2505,83.6,131,804,46.7,1169,45.7,1146,21.7,45.3,37.1,35.7,27.2,456,53.1,50.7,231,19.7,90,24.1,110,5.7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,26.2,
Betts, Mookie,605141,2022,90.5,18.6,36.2,46,9.7,8.7,22.7,31.8,22.7,3.8,44.9,99.954466043,6.497072751,66.9,8.3,22.2,40.5,59.5,111,274,50.9,1235,78.9,7.4,233,1461,731,2428,91.7,66,798,49.1,1193,43.5,1055,16.5,44.2,44.3,34.5,21.2,472,61.7,33.7,159,35.6,168,23.1,109,7.6,36,,,,,,,,,,,5,0,19,0.0,4,11,36.4,27,31,87.1,13,84.6,11,95.2,20,21,0,0.8,0.5,1.4,35,,4.45,27.3,
Caratini, Victor,605170,2022,89.4,6.6,30,13,6.3,5.3,28.5,20.3,35.7,3.9,43.5,100.649286408,6.496842039,60.9,11.4,23.8,45,55,67,149,50.2,625,68.8,7.7,190,729,324,1246,88.6,43,378,49.8,621,44,548,20.9,42.3,33.8,38.6,27.5,207,56.9,50.2,104,19.8,41,25.1,52,4.8,10,34,2.01,2.02,2,1,1.58,1.58,,0.75,79.8,,,,,,,,,,,,,,,,,,,,,,,4.85,24.9,
Davis, J.D.,605204,2022,92.4,12.3,34.8,32,16.2,5.6,26.3,18.7,30.8,2.5,56.1,103.966730202,8.76614,76.7,32.3,25.4,52.9,47.1,99,187,49.5,736,91.2,7.7,167,901,417,1486,67.5,186,575,50.5,750,43.5,647,37.4,51.3,35.9,38.9,25.3,198,63.2,46,91,22.7,45,25.3,50,6.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,26.5,
Garcia, Aramis,605244,2022,87.5,19.6,35.5,2,2.6,6.6,28.9,30.3,27.6,3.9,36.8,98.567163784,5.291404595,72.9,22.6,31.3,50,48.6,35,70,49.9,224,77.1,7.8,54,267,128,449,77.4,37,164,50.1,225,40.5,182,30.8,52.1,36.8,42.1,21.1,76,68.7,36.8,28,22.4,17,28.9,22,11.8,9,14,1.95,1.97,1.9,2,1.45,1.45,1.44,0.78,84.7,,,,,,,,,,,,,,,,,,,,,,,4.69,26.0,
Machin, Vimael,605353,2022,89.3,10.2,36.3,7,3.9,7.3,26.3,24,38,0.6,39.1,98.588009667,5.53259419,65.6,10.4,26.4,34,66,48,141,53.3,534,75,7.6,151,574,277,1002,89.3,32,307,46.7,468,40.3,404,17.9,44.7,29.6,40.2,30.2,179,56.9,44.7,80,27.4,49,25.7,46,2.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,25.5,
Perez, Michael,605421,2022,88.8,18.3,35.6,7,7.8,8.9,20,34.4,24.4,4.4,36.7,98.192780667,5.304814719,59.4,18.5,28.2,50.7,49.3,34,67,48.4,238,64.7,10.4,73,261,153,492,80.8,28,151,51.6,254,44.3,218,28.4,44.3,45.6,30,24.4,90,58.3,35.6,32,33.3,30,21.1,19,10,9,12,2,1.99,2.03,0,,,,0.8,83.5,,,,,,,,,,,,,,,,,,,,,,,4.93,24.4,
Thomas, Dillon,605504,2022,82.9,-5.7,0,0,0,0,20,20,40,20,40,95.55225,5.185412,60.9,35.7,25,66.7,33.3,4,6,51.1,24,50,4.3,7,27,13,47,64.3,5,14,48.9,23,40.4,19,45,42.6,40,40,20,5,42.9,80,4,20,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimmer, Bradley,605548,2022,87,10.5,21.3,7,11.5,1.6,11.5,26.2,32.8,16.4,34.4,99.040262143,5.699233818,68.6,28,33.3,58.6,38.6,41,70,47.8,210,82.1,6.4,55,244,129,439,70.1,44,157,52.2,229,45.8,201,37.4,51.7,31.1,39.3,29.5,61,63.2,54.1,33,27.9,17,13.1,8,4.9,3,,,,,,,,,,,4,1,10,10.0,2,5,40.0,8,8,100.0,7,71.4,5,100.0,6,6,-0.1,1.1,0.3,1.3,35.7,8,4.23,29.2,
Castro, Harold,605612,2022,87,11.4,41.6,21,6.1,7.8,28.9,20.5,31.2,4.3,33.3,97.109259586,4.622759201,69.3,13.4,39.7,30,69.7,104,347,52.7,873,69.4,7.5,295,902,452,1660,86.4,73,544,47.3,785,42.9,712,19.8,53.7,32.7,35,32.4,346,62.2,44.2,153,25.7,89,27.5,95,2.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,26.2,
Quiroz, Esteban,606019,2022,81.6,11.3,43.8,1,3.1,3.1,31.3,18.8,28.1,15.6,28.1,94.728799333,3.473812667,64.1,20.3,22.6,28.6,66.7,6,21,50.3,93,71.4,3.8,24,109,52,185,76.3,12,59,49.7,92,40.5,75,22.5,43.2,34.4,28.1,37.5,32,61.7,50,16,18.8,6,25,8,6.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
Arcia, Orlando,606115,2022,90.7,11.7,30,12,7.5,8.1,25.6,24.4,28.7,5,42.5,100.210780633,6.636873734,63.7,16.3,27,51.2,48.8,66,129,51.8,477,68.3,6.8,64,499,354,920,83.7,46,282,48.2,443,43.4,399,27.3,44.7,41.9,36.3,21.9,160,61.5,47.5,76,28.1,45,18.8,30,5.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,-0.8,-1.4,-0.8,34.1,,4.7,26.5,
Tapia, Raimel,606132,2022,87.6,4,27.5,17,5.1,3.3,26.9,18.9,40.7,4.8,38,99.701438303,5.926071212,70.2,14,42.3,32.7,66.8,115,352,52.8,833,73.8,6.8,251,912,414,1578,85.1,73,523,47.2,745,44.2,698,21.5,55.4,30.8,39.8,29.3,334,58.4,54.2,181,18,60,24.3,81,3.6,12,,,,,,,,,,,-5,0,13,0.0,2,10,20.0,2,7,28.6,13,84.6,11,100.0,17,17,-0.8,-0.9,-0.1,-1.9,31.9,10,4.27,28.2,
Aquino, Aristides,606157,2022,85.6,17.4,27.2,13,8.2,1.9,20.9,32.3,24.7,9.5,34.6,99.168037143,5.584018571,76.4,27.2,39.4,56.1,43.9,128,228,53.6,579,91.7,7.8,125,551,403,1093,72.8,104,383,46.4,501,39.6,428,38,56.6,45.6,32.3,22.2,158,63.2,39.9,63,27.2,43,17.1,27,15.8,25,,,,,,,,,,,2,0,11,0.0,3,6,50.0,5,6,83.3,9,88.9,8,93.3,14,15,0.1,1.1,0,1.2,34.2,2,4.42,28.8,
Hernandez, Teoscar,606192,2022,92.6,11.6,36.3,52,15,7.5,23.3,19.9,32,2.3,53.3,103.420419483,8.496717867,69,25.1,30.3,55.9,44.1,184,329,52.1,1085,80.7,7.2,211,1133,738,2082,74.9,173,688,47.9,997,40.8,850,35.1,48.8,38.6,34.9,26.5,347,59.6,44.4,154,25.6,89,24.8,86,5.2,18,,,,,,,,,,,-4,0,16,0.0,2,9,22.2,8,15,53.3,23,87.0,20,95.0,19,20,-0.7,-0.5,0.9,-0.4,33.6,5,4.33,28.6,
Mercedes, Yermin,606213,2022,87.5,25.3,42.9,4,7.1,3.6,30.4,37.5,17.9,3.6,28.6,97.540917857,4.781276429,67.9,18.5,35.1,29.4,70.6,20,68,55,194,72.7,6.2,39,203,106,353,80.6,20,108,45,159,41.6,147,22.7,49.9,32.1,39.3,28.6,56,61.4,26.8,15,33.9,19,25,14,14.3,8,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,
Marte, Ketel,606466,2022,90.1,13.5,31.6,24,6.1,5.8,28,27.3,29.5,3,41.9,101.202754619,6.845027056,65.7,16.3,28.1,30.1,69.6,95,316,52.2,1126,76.4,6.5,418,1086,648,2159,83.4,111,679,47.8,1033,43.9,947,20.7,46.1,42.7,35.6,21.7,396,59.7,43.2,171,25.3,100,24.5,97,7.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.46,27.0,
Haase, Eric,606992,2022,87.7,17,32.3,20,8.7,7.9,21.4,28.4,27.5,5.2,42.4,100.507001491,6.311526476,70.2,23.3,35.4,48.9,51.1,129,264,54.1,745,78.6,6.1,152,702,518,1376,76.7,103,443,45.9,631,41.6,573,32.8,51.4,41.9,33.2,24.9,229,63.7,39.7,91,24.5,56,25.8,59,10,23,25,1.94,1.94,1.95,1,1.52,1.52,,0.75,83.5,,,,,,,,,,,,,,,,,,,,,,,4.5,27.9,
Hager, Jake,606993,2022,80.8,13.9,32.4,2,5.9,0,14.7,26.5,35.3,17.6,17.6,94.036659333,3.089237667,67.2,24.4,30.6,38.6,61.4,17,44,55.4,144,78.9,7.3,41,140,73,260,75.6,19,78,44.6,116,48.1,125,29.5,46.9,35.3,50,14.7,34,57.6,50,17,29.4,10,11.8,4,8.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,27.2,
Nimmo, Brandon,607043,2022,89.4,6.1,28.1,33,7,3.6,25.1,19.8,38.5,5.5,39.8,100.251301732,6.354698482,64.7,13.7,21.3,38.6,61.4,110,285,48.2,1341,78.6,7.6,310,1794,677,2781,85.9,128,932,51.8,1440,43.5,1209,19.6,43.8,29.6,41.5,28.9,470,61.1,51.7,243,20.6,97,21.7,102,6,28,,,,,,,,,,,6,1,21,4.8,1,6,16.7,14,16,87.5,15,93.3,14,100.0,23,23,-1.4,0.1,0.6,-0.7,34.2,30,4.18,28.7,
Peterson, Jace,607054,2022,88.6,9.7,33.7,15,7.2,5.3,23.6,23.1,35.1,5.3,36.1,98.360158137,5.264631576,57.7,17,23.4,51.5,48.5,84,163,49,696,60.7,7.5,250,768,402,1420,81.1,71,418,51,724,40,568,26.7,40.9,38.9,38.5,22.6,208,59,46.6,97,26,54,24.5,51,2.9,6,,,,,,,,,,,0,0,3,0.0,0,0,,0,0,,3,66.7,2,100.0,3,3,-0.4,-0.9,0.5,-0.8,33.6,3,4.25,28.5,
Turner, Trea,607208,2022,88.9,10.2,35.3,40,7.6,6.5,24.3,24.3,34.5,2.3,41.6,100.188198893,6.238854962,72.4,15.5,33.1,46.3,53.7,225,486,53.9,1467,82.4,6.9,321,1392,997,2720,84.5,141,907,46.1,1253,41.6,1131,26.3,51.2,41.4,34.7,23.9,527,63.6,43.5,229,26.2,138,24.7,130,5.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,4.14,30.3,
Krizan, Jason,607249,2022,94.5,9.2,40,0,0,0,20,40,40,0,40,99.114206667,7.339044,40,12.5,23.8,20,80,1,5,51.2,21,,0,2,25,14,41,87.5,1,8,48.8,20,51.2,21,15.4,31.7,40,20,40,5,60,40,2,20,1,40,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaty, Matt,607461,2022,83.6,10.5,22.9,0,0,8.6,22.9,31.4,31.4,5.7,31.4,96.810826667,4.643656286,62,10.5,21.2,27.8,66.7,5,18,48,85,71.4,7.9,36,98,43,177,87.7,6,57,52,92,45.8,81,14.7,42.4,40,34.3,25.7,35,61.7,45.7,16,22.9,8,20,7,11.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-3.1,0.5,-3.4,29.5,,,26.8,
Pillar, Kevin,607680,2022,88.2,10.7,25,1,12.5,12.5,12.5,12.5,50,0,25,99.88945,6.372665,65,15.4,40,60,40,6,10,55.6,25,75,8.9,6,23,16,45,84.6,2,13,44.4,20,40,18,34.8,51.1,62.5,25,12.5,8,69.2,50,4,37.5,3,12.5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,
Stallings, Jacob,607732,2022,86.7,12.9,33.5,9,3.4,6,25.6,28.2,34.2,2.6,32.3,96.725527727,4.385356023,61.9,12.5,26,46.2,53.8,90,195,50.8,749,71,6.8,130,886,458,1474,87.3,56,449,49.2,725,44.2,652,22.7,43.7,28.9,38.3,32.7,266,62.2,42.9,114,27.4,73,21.4,57,8.3,22,40,2,2,2,0,,,,0.76,82.3,,,,,,,,,,,,,,,,,,,,,,,5.04,23.7,
Ramirez, Jose,608070,2022,87.7,20.7,33.7,35,6.6,6.4,22.3,37.3,21.8,5.3,36.9,98.871944811,5.503434175,66.4,9.5,28.7,26.4,73.1,111,420,53.4,1464,70.3,6.3,577,1389,774,2742,90.1,81,849,46.6,1278,43.7,1199,15.1,46.3,44.7,34.8,20.5,528,53.1,32.6,172,28.6,151,24.6,130,14.2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.22,28.5,
Bregman, Alex,608324,2022,88.9,19.5,36.2,35,7.3,9.4,24.3,32.6,23.3,2.9,37.8,98.378645333,5.364139021,65.8,9.5,17.7,32.4,67.6,77,238,53.2,1341,76.3,7,281,1458,774,2521,90.5,74,777,46.8,1180,42.7,1077,14.9,40.3,45.1,34.7,20.2,481,55.7,33.5,161,32.6,157,24.5,118,9.4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,26.6,
Gallo, Joey,608336,2022,89.6,23.8,29.3,33,17.6,8,14.4,34.6,17.6,8,50.5,103.219150538,7.983145645,70.1,31.1,27.5,61.9,37.3,156,252,53.2,918,79.8,7.5,313,918,474,1725,68.4,176,566,46.8,807,44.3,765,40.6,47.4,48.4,34,17.6,188,62,28.2,53,39.4,74,20.2,38,12.2,23,,,,,,,,,,,-3,1,16,6.3,2,9,22.2,6,7,85.7,13,92.3,12,86.7,13,15,1,0.2,0.1,1.2,34.7,,4.58,27.1,
Kelly, Carson,608348,2022,87.7,14.7,33.2,13,5.2,7.2,22.8,30,30,4.4,36.8,98.3885,5.265690161,62.6,13.8,24.4,40.1,59.9,69,172,49.6,706,74.5,7.7,106,868,441,1423,86.2,62,449,50.4,717,45.1,642,21.1,43.6,38.8,39.2,22,250,58.5,40.8,102,28.4,71,22.8,57,8,20,38,1.98,1.99,1.97,2,1.49,1.42,1.57,0.75,81.5,,,,,,,,,,,,,,,,,,,,,,,4.82,25.6,
Okey, Chris,608360,2022,86.2,15.9,14.3,0,0,0,28.6,28.6,42.9,0,14.3,92.2704425,2.529261429,52.2,8.3,41.7,40,60,4,10,51.1,24,0,2.1,2,26,19,47,91.7,1,12,48.9,23,51.1,24,22.7,46.8,28.6,42.9,28.6,7,61.5,57.1,4,28.6,2,0,0,14.3,1,4,2.01,2.01,,0,,,,0.79,80.3,,,,,,,,,,,,,,,,,,,,,,,,,
