last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
Alvarez, Eddy,657193,2022,88,10.3,22.2,0,0,0,33.3,27.8,27.8,11.1,27.8,96.002405556,4.270659412,72,25,38.8,36.8,63.2,7,19,49.5,49,91.7,12.1,20,51,28,99,75,9,36,50.5,50,39.4,39,29.1,55.6,44.4,22.2,33.3,18,63,55.6,10,27.8,5,16.7,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,
DeJong, Paul,657557,2022,87.6,21.7,25.6,13,9.8,5.3,20.3,39.1,20.3,5.3,37.6,99.542111493,5.858530902,70.8,26.8,27.7,55.8,43.5,77,138,51,498,82.5,6.4,92,526,359,977,73.2,91,339,49,479,43,420,35.2,48.8,45.1,24.8,30.1,133,64.1,32.3,43,34.6,46,21.8,29,11.3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,27.8,
Laureano, Ramon,657656,2022,88.7,14.9,28.9,28,11.6,4.1,23.6,26.9,29.3,4.5,38.4,100.041538347,6.16358876,64.2,20.1,28.8,52.7,47.3,116,220,50.4,763,70.1,8.4,146,807,561,1514,79.7,97,482,49.6,751,43.5,659,30.3,46.4,41.3,32.2,26.4,242,62.4,43.4,105,30.2,73,18.6,45,7.9,19,,,,,,,,,,,-5,0,16,0.0,1,7,14.3,7,14,50.0,13,92.3,12,81.3,13,16,1.8,0.5,-0.6,1.6,36,,4.43,27.6,
Papierski, Michael,657709,2022,77.4,12.2,28.4,0,0,3,20.9,22.4,34.3,19.4,9,88.340397273,1.381348308,56.1,11.7,29.7,34.5,65.5,20,58,47.7,195,60.5,10.5,60,246,103,409,85.8,14,120,52.3,214,44.5,182,19.1,43.5,38.8,37.3,23.9,67,66,47.8,32,19.4,13,19.4,13,13.4,9,21,2.08,2.08,2.04,1,1.6,1.6,,0.78,78.1,,,,,,,,,,,,,,,,,,,,,,,4.84,24.8,
Sheets, Gavin,657757,2022,88.6,14.8,32.3,19,6.5,6.1,21.4,29.6,34.7,1,36.1,98.93534363,5.559241787,63.7,15.5,33.2,33.1,66.9,98,296,52.4,891,69.4,6.5,321,822,554,1699,84.5,80,515,47.6,808,41.3,702,21.9,47.7,38.4,36.7,24.8,294,62,41.2,121,24.8,73,23.5,69,10.5,31,,,,,,,,,,,-5,0,11,0.0,1,9,11.1,3,7,42.9,9,66.7,6,100.0,13,13,-0.2,-1.8,-0.7,-2.7,30,,4.52,26.6,
Olivares, Edward,658668,2022,89.2,6.6,34.9,8,6.3,5.6,28.6,16.7,38.9,3.2,38.9,99.966220794,6.23725184,70.1,17.9,33.3,39,61,46,118,51.4,354,86.8,5.5,77,423,189,689,82.1,42,235,48.6,335,41.2,284,24.9,51.2,43.7,39.7,16.7,126,66.7,47.6,60,19.8,25,28.6,36,4,5,,,,,,,,,,,-3,0,7,0.0,0,1,0.0,1,4,25.0,7,100.0,7,85.7,6,7,-0.8,-1,0.7,-1.2,32,1,4.36,28.6,
Moncada, Yoan,660162,2022,88.7,15.7,35.1,28,9.8,6.3,22.1,30.2,28.8,2.1,37.5,99.519949858,5.912687082,65.9,18.5,28.1,50,49.6,121,242,49.9,861,80,7.8,303,969,437,1725,81.5,105,569,50.1,863,42.9,740,27.8,47.1,34.7,41.1,24.2,285,60.4,39.3,112,32.6,93,21.1,60,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,27.4,
Ohtani, Shohei,660271,2022,92.9,12.1,35,72,16.8,5.6,24.5,19.9,29.9,3,49.8,103.823624272,8.520363788,72,23.1,28.3,39.9,60.1,150,376,52.1,1327,86.8,6.8,539,1332,668,2546,76.9,203,878,47.9,1219,44.7,1137,28.1,49.3,36,36.2,27.8,428,60.4,43,184,30.1,129,23.6,101,3.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.09,28.3,
Tsutsugo, Yoshi,660294,2022,88.8,10.1,32.3,7,5.6,3.2,22.6,28.2,40.3,0,36.3,98.366657419,5.35715629,64.9,13.7,25.4,40.5,59.5,47,116,53,456,79,7.2,105,530,220,861,86.3,36,263,47,405,41.6,358,21.9,44,29.8,38.7,31.5,124,60.1,47.6,59,23.4,29,22.6,28,6.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,26.0,
Arauz, Jonathan,660620,2022,87.4,12.1,50,2,7.1,3.6,28.6,21.4,28.6,10.7,35.7,99.193786429,5.86637037,57.1,21.2,27.5,36.8,63.2,7,19,43.1,69,64.3,8.8,29,91,40,160,78.8,11,52,56.9,91,42.5,68,25.4,44.4,35.7,53.6,10.7,28,70.7,39.3,11,10.7,3,39.3,11,10.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,
